cycle,best_cut,best_ratio
0,7099.571726101166,0.9509576606242809
1,7099.571726101166,0.9509576606242809
2,7099.571726101166,0.9509576606242809
3,7099.571726101166,0.9509576606242809
4,7099.571726101166,0.9509576606242809
5,7099.571726101166,0.9509576606242809
6,7099.571726101166,0.9509576606242809
7,7099.571726101166,0.9509576606242809
8,7099.571726101166,0.9509576606242809
9,7099.571726101166,0.9509576606242809
10,7099.571726101166,0.9509576606242809
11,7099.571726101166,0.9509576606242809
12,7099.571726101166,0.9509576606242809
13,7099.571726101166,0.9509576606242809
14,7099.571726101166,0.9509576606242809
15,7099.571726101166,0.9509576606242809
16,7099.571726101166,0.9509576606242809
17,7099.571726101166,0.9509576606242809
18,7099.571726101166,0.9509576606242809
19,7099.571726101166,0.9509576606242809
20,7099.571726101166,0.9509576606242809
21,7099.571726101166,0.9509576606242809
22,7099.571726101166,0.9509576606242809
